year_month,dz_count,dz_conversions,dz_conv_rate,total_count,total_conversions,baseline_rate,dz_lift
2024-02,1,0,0.0,125,4,0.032,0.0
2024-03,1,0,0.0,99,5,0.0505,0.0
2024-04,17,2,0.1176,762,20,0.0262,4.488549618320611
2024-05,11,1,0.0909,861,15,0.0174,5.224137931034483
2024-06,23,3,0.1304,1108,29,0.0262,4.97709923664122
2024-07,25,4,0.16,1834,40,0.0218,7.339449541284404
2024-08,34,6,0.1765,2690,86,0.032,5.515625
2024-09,10,4,0.4,1801,58,0.0322,12.422360248447205
2024-10,19,3,0.1579,2826,88,0.0311,5.077170418006431
2024-11,61,4,0.0656,3145,98,0.0312,2.1025641025641026
2024-12,31,5,0.1613,2432,105,0.0432,3.7337962962962963
2025-01,26,4,0.1538,2362,109,0.0461,3.336225596529284
2025-02,27,3,0.1111,1897,99,0.0522,2.128352490421456
2025-03,36,2,0.0556,1830,74,0.0404,1.3762376237623761
2025-04,79,2,0.0253,2596,115,0.0443,0.5711060948081265
2025-05,39,3,0.0769,2499,98,0.0392,1.961734693877551
2025-06,32,3,0.0938,1540,66,0.0429,2.1864801864801864
2025-07,6,2,0.3333,320,15,0.0469,7.106609808102346
2025-08,51,3,0.0588,3623,127,0.0351,1.6752136752136753
2025-09,223,17,0.0762,3139,153,0.0487,1.5646817248459959
2025-10,9,0,0.0,157,8,0.051,0.0
