column_name,data_type
lead_id,STRING
advisor_crd,INT64
contacted_date,DATE
target,INT64
lead_source,STRING
firm_crd_at_contact,INT64
pit_month,DATE
industry_tenure_months,INT64
num_prior_firms,INT64
current_firm_tenure_months,INT64
avg_prior_firm_tenure_months,FLOAT64
firms_in_last_5_years,INT64
pit_moves_3yr,INT64
pit_avg_prior_tenure_months,FLOAT64
pit_restlessness_ratio,FLOAT64
pit_mobility_tier,STRING
firm_aum_pit,INT64
log_firm_aum,FLOAT64
aum_growth_12mo_pct,FLOAT64
firm_rep_count_at_contact,INT64
firm_aum_tier,STRING
firm_departures_12mo,INT64
firm_arrivals_12mo,INT64
firm_net_change_12mo,INT64
firm_total_movement_12mo,INT64
firm_stability_score,FLOAT64
firm_stability_percentile,FLOAT64
firm_recruiting_priority,STRING
firm_stability_tier,STRING
accolade_count,INT64
has_accolades,INT64
forbes_accolades,INT64
disclosure_count,INT64
has_disclosures,INT64
criminal_disclosures,INT64
regulatory_disclosures,INT64
has_linkedin,INT64
has_firm_aum,INT64
has_valid_virtual_snapshot,INT64
is_gender_missing,INT64
is_linkedin_missing,INT64
is_personal_email_missing,INT64
is_license_data_missing,INT64
is_industry_tenure_missing,INT64
