uncalibrated_score,calibrated_probability,bin_lower,bin_upper
0.007343159,0.0,0.002610783,0.012075535
0.016807912,0.0,0.012075535,0.021540288
0.026272664,0.007633588,0.021540288,0.03100504
0.035737418,0.007633588,0.03100504,0.04046979
0.045202166,0.007633588,0.04046979,0.049934544
0.05466692,0.013761468,0.049934544,0.059399296
0.06413167,0.013761468,0.059399296,0.06886404
0.07359642,0.013761468,0.06886404,0.078328796
0.08306117,0.013761468,0.078328796,0.08779355
0.09252593,0.020689655,0.08779355,0.0972583
0.10199067,0.020689655,0.0972583,0.10672305
0.111455426,0.020689655,0.10672305,0.1161878
0.12092018,0.020689655,0.1161878,0.12565257
0.13038494,0.020689655,0.12565257,0.1351173
0.1398497,0.020689655,0.1351173,0.14458206
0.14931443,0.03018868,0.14458206,0.15404682
0.1587792,0.03018868,0.15404682,0.16351157
0.16824394,0.03018868,0.16351157,0.17297633
0.1777087,0.03018868,0.17297633,0.18244107
0.18717346,0.03018868,0.18244107,0.19190583
0.1966382,0.03018868,0.19190583,0.20137058
0.20610295,0.03018868,0.20137058,0.21083532
0.21556771,0.03018868,0.21083532,0.22030008
0.22503245,0.03018868,0.22030008,0.22976483
0.23449722,0.03018868,0.22976483,0.23922959
0.24396196,0.03018868,0.23922959,0.24869435
0.2534267,0.03018868,0.24869435,0.25815907
0.26289144,0.03018868,0.25815907,0.2676238
0.2723562,0.045801528,0.2676238,0.27708858
0.28182095,0.045801528,0.27708858,0.28655332
0.2912857,0.045801528,0.28655332,0.2960181
0.30075046,0.045801528,0.2960181,0.30548283
0.3102152,0.045801528,0.30548283,0.31494758
0.31967998,0.045801528,0.31494758,0.32441235
0.32914472,0.045801528,0.32441235,0.3338771
0.33860946,0.045801528,0.3338771,0.34334186
0.34807423,0.045801528,0.34334186,0.3528066
0.35753897,0.045801528,0.3528066,0.36227134
0.36700374,0.045801528,0.36227134,0.3717361
0.37646848,0.045801528,0.3717361,0.38120085
0.38593322,0.045801528,0.38120085,0.3906656
0.39539796,0.045801528,0.3906656,0.40013036
0.40486273,0.045801528,0.40013036,0.4095951
0.41432747,0.045801528,0.4095951,0.41905984
0.42379224,0.045801528,0.41905984,0.4285246
0.43325698,0.045801528,0.4285246,0.43798935
0.44272172,0.045801528,0.43798935,0.44745412
0.4521865,0.045801528,0.44745412,0.45691887
0.46165124,0.059322033,0.45691887,0.4663836
0.471116,0.059322033,0.4663836,0.47584838
0.48058075,0.059322033,0.47584838,0.48531312
0.4900455,0.059322033,0.48531312,0.4947779
0.4995103,0.059322033,0.4947779,0.50424266
0.508975,0.059322033,0.50424266,0.5137074
0.51843977,0.059322033,0.5137074,0.52317214
0.5279045,0.059322033,0.52317214,0.5326369
0.53736925,0.059322033,0.5326369,0.5421017
0.54683405,0.059322033,0.5421017,0.5515664
0.5562988,0.059322033,0.5515664,0.56103116
0.56576353,0.059322033,0.56103116,0.5704959
0.5752283,0.059322033,0.5704959,0.57996064
0.5846931,0.059322033,0.57996064,0.58942544
0.5941578,0.059322033,0.58942544,0.5988902
0.60362256,0.059322033,0.5988902,0.6083549
0.6130873,0.059322033,0.6083549,0.61781967
0.62255204,0.059322033,0.61781967,0.6272844
0.6320168,0.059322033,0.6272844,0.6367492
0.6414816,0.059322033,0.6367492,0.64621395
0.6509463,0.059322033,0.64621395,0.6556787
0.66041106,0.059322033,0.6556787,0.66514343
0.6698758,0.059322033,0.66514343,0.6746082
0.6793406,0.059322033,0.6746082,0.684073
0.68880534,0.10897436,0.684073,0.6935377
0.6982701,0.10897436,0.6935377,0.70300245
0.7077348,0.10897436,0.70300245,0.7124672
0.71719956,0.10897436,0.7124672,0.72193193
0.7266643,0.10897436,0.72193193,0.7313967
0.73612905,0.10897436,0.7313967,0.7408615
0.74559385,0.10897436,0.7408615,0.7503262
0.7550586,0.10897436,0.7503262,0.75979096
0.7645233,0.10897436,0.75979096,0.7692557
0.77398807,0.10897436,0.7692557,0.77872044
0.78345287,0.10897436,0.77872044,0.78818524
0.7929176,0.10897436,0.78818524,0.79765
0.80238235,0.10897436,0.79765,0.8071147
0.8118471,0.10897436,0.8071147,0.81657946
0.82131183,0.10897436,0.81657946,0.8260442
0.8307766,0.10897436,0.8260442,0.83550894
0.8402413,0.10897436,0.83550894,0.84497374
0.8497061,0.10897436,0.84497374,0.8544385
0.85917085,0.10897436,0.8544385,0.8639032
0.8686356,0.10897436,0.8639032,0.87336797
0.87810034,0.10897436,0.87336797,0.8828327
0.88756514,0.10897436,0.8828327,0.8922975
0.8970299,0.18181819,0.8922975,0.90176225
0.9064946,0.18181819,0.90176225,0.911227
0.91595936,0.18181819,0.911227,0.9206917
0.9254241,0.18181819,0.9206917,0.93015647
0.93488884,0.18181819,0.93015647,0.93962127
0.9443536,0.18181819,0.93962127,0.94908595
